feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
-0.040343776,0.09302292,-0.026654264,0.07712654,0.09251012,0.009716795,0.13057275,-0.09919396,0.04099419,-0.041397244,-0.074123695,-0.010691324,0.00895981,0.108320855,-0.00698882,0.1161266,-0.0084719695,-0.11737924,-0.103404485,-0.105876535,0.017151913,0.1111882,-0.006805808,-0.026122626,0.098135024,0.100302435,-0.030144917,0.07526175,0.04113053,-0.01014414,0.00773713,-0.10074542,-0.00708915,-0.050954018,0.037229132,-0.05471125,0.106215104,0.009377294,-0.09720256,0.0466045,-0.05102034,0.045833386,0.029814048,-0.17633824,-0.07608955,0.21541047,-0.03908223,-0.02556524,0.053507924,-0.06185639,-0.062826864,0.04129445,0.21153909,0.09773988,-0.10181138,-0.09146864,0.06345637,0.09867789,0.09481401,0.13240336,-0.054547373,0.0647506,0.069342114,-0.019665923
0.10654043,-0.12467266,0.049371794,-0.14432766,-0.0635797,0.09866928,-0.15397964,0.097707324,0.18867077,-0.010288819,-0.09642912,0.13184509,0.06776308,0.00061933056,0.17139924,0.08600984,-0.08536013,-0.18312408,-0.035407282,0.10394382,-0.03244643,0.21237804,0.1077068,0.103568956,0.17869326,0.06771766,0.014028985,0.10906646,0.03447608,-0.14631729,-0.19575489,-0.0871265,-0.13793445,-0.034780312,0.051564593,0.061315227,-0.18605596,-0.15436627,-0.24742644,-0.030902022,0.04635364,0.18539861,-0.090404674,-0.10926013,-0.19917372,0.0695927,0.10773423,-0.021072721,-0.07052254,-0.11145509,0.008686502,0.063667014,0.16631724,-0.08648396,0.09867984,0.06605628,-0.10373246,-0.04944482,0.27850193,0.21179269,-0.009315049,-0.048253287,-0.05462455,0.023147795
0.0015025192,-0.12809569,-0.11330517,0.06513323,-0.074337125,0.038729295,0.04293655,-0.083227605,0.25502262,-0.013452148,-0.015332978,0.019425016,0.022338036,0.0072320956,-0.124437734,-0.055756293,-0.004694563,0.085201286,-0.10359369,0.013948987,-0.17925017,0.10698818,0.05964815,0.023196507,0.005274602,-0.10431968,-0.11581878,-0.10201668,-0.19145848,-0.07680506,0.015918411,-0.0085354615,-0.15432954,0.061292138,0.017983356,0.20653288,-0.03300162,0.1306847,0.01311121,-0.22984435,-0.07710733,-0.06870085,0.019903095,0.13777773,0.017691072,-0.15299633,0.031199018,-0.092555806,-0.11729489,0.04714205,0.17924327,0.107955016,-0.04261572,-0.014812281,-0.046377435,-0.09728351,0.10404201,-0.065168664,-0.082831286,-0.073459364,0.07300641,-0.056899518,0.06281805,0.13614137
0.005625039,0.031543095,0.0022960722,0.04159668,-0.065699674,0.07734844,-0.03581918,0.044658087,-0.028742494,0.0034097352,-0.14739972,0.11012189,0.07666299,-0.02260665,0.10430191,0.114346944,0.0107035525,-0.04484721,0.033555407,0.0263974,-0.05869009,0.16007204,0.054691732,0.091560334,0.039720546,-0.047604702,-0.08337804,0.048279926,0.12989499,-0.018314475,-0.068197764,-0.096603975,-0.090518475,-0.005418433,0.021818366,-0.06274724,-0.017354837,-0.05525164,-0.10042825,0.025872584,0.014047088,0.052994847,0.047398034,-0.13422018,-0.084945455,0.008880365,0.07420136,0.023786642,-0.035834663,-0.20392667,-0.0530218,0.0004650197,0.10394069,-0.08144061,-0.03790092,0.07578534,-0.042454302,-0.0055256,0.101262465,0.050465956,-0.020953655,-0.00013794526,0.05197354,-0.07677107
-0.14323175,0.03583578,-0.13446903,-0.06639312,-0.0023167464,0.1450883,0.123301595,-0.1389696,0.096486695,0.11068686,0.0048470255,-0.013957307,-0.04980272,0.019039795,-0.22265501,-0.028618177,-0.013398749,0.034510773,-0.017015088,-0.0027225793,-0.00196315,0.06190033,-0.0068942476,0.0470389,-0.18764973,-0.17488745,-0.11366388,-0.13719748,-0.028608236,0.08778553,0.026735708,0.0025284805,0.014797373,-0.036139864,-0.048755243,0.0911449,0.10035982,0.12411578,0.056600668,-0.031998906,0.15936346,-0.105584204,0.10840609,0.1436355,0.10292002,-0.01931815,-0.18179722,-0.0019474989,-0.19095163,-0.07699722,0.14446053,0.1305851,-0.052153327,-0.14497958,-0.15565097,-0.056734137,-0.030434651,-0.046488717,-0.17615089,0.06737874,0.15823525,-0.09214331,0.09735014,0.12823795
0.07632569,0.01744955,0.17610519,0.15376464,-0.14149131,0.13830483,0.12885122,-0.018179398,0.16057731,0.0051891776,-0.06705821,-0.034550194,-0.06994633,0.08244667,0.0050150678,-0.00077296025,0.0937666,-0.07297014,-0.04974025,-0.020369168,-0.23460095,0.23152307,0.27530202,0.041070517,0.11368003,0.005291883,-0.029316703,-0.13883525,0.10746991,-0.13755986,-0.111382455,0.11751961,-0.061667997,0.0053081997,0.037641343,-0.039387442,-0.099669114,-0.021712717,-0.025926534,-0.07313019,0.021256119,0.14186487,-0.051326692,-0.07919008,-0.039322384,0.04163864,-0.028333912,-0.2368065,0.13862969,0.09335355,0.021817135,-0.12855709,0.20703547,0.21534751,-0.08109418,0.23602766,-0.021149766,0.10579919,-0.00899116,0.034157023,-0.17345844,-0.08307532,-0.13898472,-0.116067395
0.07205665,0.0771879,0.061478235,0.02243922,-0.06034892,-0.10337017,-0.02153694,0.048855245,0.12908062,-0.07029886,-0.04270638,0.019875431,-0.19089912,-0.027327197,-0.008430089,0.10412893,-0.08295897,-0.18043903,-0.21977532,-0.068978734,-0.14086923,0.035341445,0.08321733,-0.07870676,0.07844703,0.14341779,0.00706036,-0.045683444,0.061181765,0.015298371,-0.07680815,-0.067517206,-0.073267765,-0.081494816,0.053597216,-0.026694156,0.22991207,0.051556204,0.0071747783,-0.019419583,0.01587694,0.02321604,0.037169904,-0.048755694,-0.14241062,0.030401826,0.12105821,-0.17072974,-0.00014505257,-0.032036096,0.029494377,0.04692769,0.0662387,0.20158225,0.14254491,-0.018928949,0.12742113,-0.0043474254,0.050608933,-0.03887997,-0.052103817,0.07905834,-0.050812464,0.055913746
-0.030658565,-0.0911302,-0.03568714,-0.005040607,-0.12467587,0.08417702,0.060615595,0.03422886,0.023646273,0.015517291,0.0074172905,-0.08068892,-0.03874202,-0.064068906,-0.016444841,0.004572421,-0.0042193956,0.06262212,-0.079025626,-0.08941173,-0.060842026,0.056366883,-0.06912561,0.11346679,-0.0066738995,-0.042457152,-0.12806803,-0.14930454,-0.0711205,0.11104017,0.06383062,-0.18860407,-0.019312957,0.034737155,0.004868397,0.19182622,0.0005846653,0.098662876,0.054817475,-0.1170263,-0.08978017,0.0018572962,0.14153373,0.058300663,0.08586244,0.04181845,-0.028460957,-0.16738096,0.0009946591,-0.24608974,0.004539617,0.04914887,-0.08842271,0.014503218,-0.008800057,-0.08840246,0.14173843,-0.022488266,-0.09270994,-0.055392712,0.0079262545,-0.025984509,-0.060220107,0.11104216
-0.013225841,0.12161349,0.10474409,0.07882723,-0.00042416935,-0.01218963,-0.029706918,0.043038364,0.026860466,-0.09732017,-0.10412562,0.19078277,0.025522284,-0.0038044236,-0.0056160856,0.18451428,0.007197001,-0.14721934,0.00863245,0.04210868,-0.118899524,0.11775956,0.0707389,-0.0012424797,0.08701308,-0.041355982,-0.045127068,0.107566625,0.09495982,-0.042050883,-0.15364674,-0.049833864,-0.22063388,0.053834204,0.24294059,-0.102998495,0.046988733,-0.064126894,-0.06331646,0.08140212,0.0053908513,0.00017505667,-0.11931647,-0.069583915,-0.033322163,0.1442419,-0.0066105206,0.003258587,-0.008568055,-0.021077793,0.046524923,0.032273877,0.16856128,-0.017971683,-0.0739183,0.25199968,0.0033198309,0.018153885,0.15045772,0.16324925,-0.06907784,0.0226706,-0.01051294,-0.11067273
0.012604556,-0.098449655,0.05502116,0.06953792,0.065808155,0.036891814,-0.17457134,0.045496516,-0.03369479,0.07813112,-0.11123909,-0.031317323,-0.09187892,-0.057683617,-0.026954155,0.014126271,-0.088793896,-0.098465264,0.026934078,0.0034308261,0.0027259286,0.09546274,-0.011592112,0.01510687,-0.03795281,0.008583149,0.08509949,0.048718676,-0.03451302,-0.0009962252,-0.03343858,-0.027976954,-0.027649239,0.035613142,-0.054261662,-0.024901617,0.031347115,-0.09810313,-0.05958519,0.0014344743,-0.033043705,0.0076092607,-0.07388927,-0.043535385,0.018946292,0.061893716,-0.014176675,-0.055318546,0.11019682,-0.14059857,0.05871564,0.07376379,-0.010473936,-0.09196227,0.058762394,0.02790676,0.04046999,0.07213364,0.04454244,0.1553954,-0.08605647,0.13375133,0.00093096273,0.06392823
