120601
9788	37533	9
23813	37533	5
1888	37533	11
16304	47196	27
9788	47196	10
1888	47196	12
16304	13615	28
9788	13615	11
1888	13615	13
16304	23367	29
9788	23367	12
1888	38297	14
1888	48004	15
16304	11741	30
16304	46137	0
21765	46137	0
10440	46137	0
43439	46137	2
21765	7497	1
21765	22255	2
10440	22255	1
21765	32165	3
21765	46910	4
21765	8292	5
21765	17955	6
21765	32973	7
21765	42658	8
21765	9077	9
21765	18805	10
21765	33764	11
21765	43457	12
21765	4754	13
21765	19589	14
16304	44272	15
33815	44272	0
29104	44272	12
16304	5542	16
33629	39939	0
16304	6338	1
29967	6338	0
16304	16073	2
29967	16073	2
16304	31061	3
22718	31061	0
29967	31061	3
22718	40776	1
29967	40776	4
22718	2097	2
33629	2097	1
29967	2097	5
33629	16851	2
29967	16851	1
33629	26648	3
25548	26648	0
25548	41535	1
33629	2876	4
29104	17642	11
33629	17642	5
29104	27483	13
33629	27483	6
29104	37344	14
33629	37344	7
29104	3663	15
33629	3663	8
29104	13412	16
33629	13412	9
29104	28241	17
2849	7547	0
5338	7547	0
8879	7547	0
30658	7547	1
2849	17217	1
5880	17217	0
30658	17217	0
2849	32226	2
2849	41899	3
42503	41899	2
16088	41899	0
8879	41899	1
2849	8339	4
42503	8339	3
16088	8339	1
8879	8339	2
2849	18012	5
37034	18012	0
46345	18012	0
5228	18012	0
16088	18012	2
8879	18012	3
2849	27860	6
37034	27860	1
48278	27860	0
27617	27860	0
15837	27860	0
46345	27860	1
5228	27860	1
8879	27860	4
48278	42704	1
27617	42704	1
15837	42704	1
46345	42704	2
5228	42704	2
2720	42704	0
8879	42704	5
2849	4028	7
45896	4028	0
48278	4028	2
27617	4028	2
46345	4028	3
5228	4028	3
2720	4028	1
8879	4028	6
18542	4028	0
2849	18853	8
27617	18853	3
5023	18853	0
5228	18853	4
2720	18853	2
18542	18853	1
2849	28656	9
37034	28656	2
27617	28656	4
5023	28656	1
2720	28656	3
18542	28656	2
37034	43515	3
27617	43515	5
5023	43515	2
46345	43515	7
5228	43515	5
27617	4806	6
46345	4806	4
5228	4806	6
34585	14592	0
27617	14592	7
46345	14592	5
5228	14592	7
32881	14592	0
46345	29485	6
5228	29485	8
32881	29485	1
46345	39227	8
5228	39227	9
43594	39227	0
46345	5604	9
43594	5604	1
35702	15338	0
10090	15338	0
35702	39992	1
35702	1329	2
35702	16122	3
35702	25834	4
35702	40819	5
32881	40819	2
35702	2151	6
35702	11913	7
42503	26695	1
10060	26695	0
36611	26695	0
35702	26695	8
227	26695	0
10060	36618	1
35702	36618	9
32881	37399	3
18542	38143	3
18542	47857	4
32047	9242	0
18542	9242	5
32047	23973	1
18542	23973	6
32047	33924	2
18542	33924	7
27617	217	13
18542	217	8
27617	10003	8
27617	24752	9
935	24752	0
18542	24752	9
27617	34736	10
8783	34736	0
27617	44431	11
27617	10768	12
935	10768	1
10090	10768	2
10090	20527	1
42503	11577	0
32338	19284	0
4360	19284	0
14660	43962	0
35775	43962	0
4360	43962	1
39229	43962	5
14660	14972	1
39229	14972	6
18328	39611	0
8137	39611	0
4339	39611	0
18328	6032	1
18328	40420	2
14660	40420	2
30443	40420	0
18328	1778	3
14660	1778	3
30443	1778	1
18328	26301	4
14660	26301	4
30443	26301	2
18328	2566	5
14660	2566	5
30443	2566	3
30443	37025	4
44715	13112	4
36564	37806	1
44715	13876	5
48319	38556	0
38270	38556	0
48319	48263	1
44715	48263	0
38270	48263	1
30443	24388	5
44715	24388	1
38270	24388	2
30443	10392	6
44715	10392	2
44715	35167	3
19692	44836	0
30443	44836	7
19692	20951	1
30443	20951	8
19692	12012	2
30443	12012	9
39043	12012	0
19692	21734	3
19692	7756	4
38270	7756	3
19692	22494	5
30443	22494	10
19692	47141	6
24588	33238	0
19692	33238	7
19692	42925	8
48319	42925	2
30443	42925	11
28834	42925	0
30443	19076	12
28834	19076	1
30443	43741	13
30443	19877	14
28834	44519	2
28834	30539	3
28834	40222	4
19692	31314	9
28834	31314	5
19692	2359	10
28834	2359	6
19692	17110	11
28834	17110	7
19692	41790	12
28834	41790	8
35632	27754	0
19692	27754	13
36564	27754	2
19692	3925	14
19692	28525	15
39229	431	2
36564	15237	0
39229	15237	1
39229	34968	0
19692	25729	16
19692	2032	17
48319	2032	3
39229	2032	3
19692	21526	18
48319	21526	4
39229	21526	4
19692	36523	19
48319	36523	5
39229	36523	7
19692	12606	20
48319	12606	6
39229	12606	8
19692	32243	21
39229	32243	9
19692	23103	22
39229	23103	10
25743	47747	0
39229	47747	11
25743	18866	1
36564	18866	3
39229	18866	12
25743	33831	2
36564	33831	4
39229	33831	13
25743	19660	3
39229	19660	14
39229	44333	15
39229	31131	16
1531	37852	0
41203	27808	0
21249	27808	0
23434	27808	0
46061	27808	0
15284	27808	0
43850	27808	0
48208	27808	0
2814	27808	0
38156	27808	0
36852	27808	0
24631	27808	0
14078	27808	0
29459	27808	0
29309	27808	0
35646	27808	0
8669	27808	0
35972	27808	0
9916	27808	0
3631	27808	0
9406	27808	0
41619	27808	0
20801	27808	0
28302	27808	0
47350	27808	0
46587	27808	0
42448	27808	0
1428	27808	0
17678	27808	0
5057	27808	0
13771	27808	0
35207	27808	0
30453	27808	0
43700	27808	0
26423	27808	0
2938	27808	1
20741	27808	0
4340	27808	0
41145	27808	0
9262	27808	0
29071	27808	0
27741	27808	0
31800	27808	0
6682	27808	0
3251	27808	0
4378	27808	0
28834	27808	0
9458	27808	0
40824	27808	0
15012	27808	0
16331	27808	0
6674	27808	0
39698	27808	0
20185	27808	0
3320	27808	0
32138	27808	0
44988	27808	0
44187	27808	1
5600	27808	0
37987	27808	0
48273	27808	0
25403	27808	0
16520	27808	0
36054	27808	0
29902	27808	0
3928	27808	0
5693	27808	0
15161	27808	0
21059	27808	0
23265	27808	0
32222	27808	0
14707	27808	0
32813	27808	0
24631	37647	1
29459	37647	1
35646	37647	1
41619	37647	1
28302	37647	1
46587	37647	1
42448	37647	1
1428	37647	1
42933	37647	0
17678	37647	1
5057	37647	1
39878	37647	0
35207	37647	1
43700	37647	1
26423	37647	1
41145	37647	1
27741	37647	1
4378	37647	1
28834	37647	1
40824	37647	1
16331	37647	1
20185	37647	1
3320	37647	1
44187	37647	0
5600	37647	1
38770	37647	0
25403	37647	1
16520	37647	1
36054	37647	1
29902	37647	1
3928	37647	1
5693	37647	1
15161	37647	5
2929	37647	0
47892	37647	0
14707	37647	1
32813	37647	1
41203	37647	1
32361	47323	0
24631	47323	2
41619	47323	2
46587	47323	2
1428	47323	2
42933	47323	1
35207	47323	2
43700	47323	2
26423	47323	2
28834	47323	2
12898	47323	0
32138	47323	1
21697	47323	0
42173	47323	13
25403	47323	2
16520	47323	2
36054	47323	2
29902	47323	2
15161	47323	6
2929	47323	1
47892	47323	1
13442	23473	0
32361	23473	1
24631	23473	3
41619	23473	3
1428	23473	3
25954	23473	0
45476	23473	0
33125	23473	0
6401	23473	0
28834	23473	3
40824	23473	2
20185	23473	2
16079	23473	0
32138	23473	2
42173	23473	12
25403	23473	3
4842	23473	0
15161	23473	7
